Unnamed: 0,OrderId,CustomerId,OrderDate,Age,City,Category,ProductName,Quantity,UnitPrice,DiscountPct,PaymentMethod,OrderStatus,Rating,ShippingDays,DeliveryDistanceKM,Device,MarketingChannel,Spend90d,CouponCode,TotalAmount,Year,Month,Day
83770,ORD1059430,CUST91292,2025-03-09,34,Pune,Beauty,Novel,3.0,391.63,24.36,COD,Processing,3.3,6.0,4.23,Mobile,Organic,1694311.41,FESTIVE,888.69,2025.0,3.0,9.0
28585,ORD1003942,CUST56615,2024-01-29,24,Ahmedabad,Beauty,Face Serum,1.0,482.01,31.11,COD,Returned,3.2,8.0,11.63,Mobile,Affiliate,1299.59,SAVE20,332.06,2024.0,1.0,29.0
3266,ORD1065685,CUST29920,2025-04-24,21,Chennai,Beauty,Wireless Headphones,1.0,273.95,15.69,COD,Shipped,4.2,1.0,3.72,Mobile,Organic,2652.52,FESTIVE,230.97,2025.0,4.0,24.0
32267,ORD1012200,CUST86723,2024-03-30,32,Chennai,Sports,Bluetooth Speaker,1.0,788.26,12.18,Credit Card,Delivered,2.7,4.0,11.69,Desktop,Paid Search,2064.87,SAVE20,692.25,2024.0,3.0,30.0
19756,ORD1063720,CUST49589,2025-04-10,39,Jaipur,Grocery,Coffee Maker,1.0,49.53,19.03,Credit Card,Delivered,4.1,10.0,12.7,Mobile,Affiliate,1609.78,APP15,40.1,2025.0,4.0,10.0
44111,ORD1046638,CUST34389,2024-12-06,23,Ahmedabad,Home & Kitchen,Laptop Stand,3.0,778.88,20.14,Debit Card,Cancelled,4.4,3.0,6.31,Mobile,Direct,3063.32,NEWUSER,1866.04,2024.0,12.0,6.0
40187,ORD1036511,CUST95942,2024-09-23,41,Hyderabad,Sports,Laptop Stand,3.0,1294.07,1.67,Net Banking,Delivered,5.0,3.0,15.69,Mobile,Organic,5015.68,SAVE20,3817.38,2024.0,9.0,23.0
20356,ORD1002823,CUST91656,2024-01-21,22,Ahmedabad,Grocery,Yoga Mat,1.0,691.24,19.8,Credit Card,Delivered,3.9,3.0,4.3,Mobile,Social,653.77,APP15,554.37,2024.0,1.0,21.0
87697,ORD1061652,CUST49338,2025-03-26,33,Jaipur,Electronics,Smart Watch,1.0,554.38,17.4,Wallet,Delivered,3.7,3.0,9.52,Mobile,Email,,FESTIVE,457.92,2025.0,3.0,26.0
26767,ORD1084052,CUST98788,2025-09-05,0,Bengaluru,Books,Yoga Mat,4.0,1814.72,12.67,UPI,Delivered,5.0,1.0,18.0,Mobile,Paid Search,15985.21,FESTIVE,6339.18,2025.0,9.0,5.0
24192,ORD1068033,CUST91272,2025-05-11,44,Pune,Toys,Novel,1.0,1143.91,9.21,COD,Cancelled,4.7,6.0,43.94,Tablet,Organic,20303.99,NONE,1038.56,2025.0,5.0,11.0
21057,ORD1015193,CUST99852,2024-04-20,48,Jaipur,Books,Organic Snacks,4.0,4228.96,12.55,Debit Card,Delivered,4.5,3.0,7.52,Desktop,Paid Search,3781.11,APP15,14792.9,2024.0,4.0,20.0
21463,ORD1022179,CUST96265,2024-06-10,33,Delhi,Sports,Wireless Headphones,1.0,729.23,14.33,COD,Delivered,4.4,1.0,15.8,Mobile,Organic,10012.24,NONE,624.73,2024.0,6.0,10.0
10075,ORD1084713,CUST90879,2025-09-10,39,Patna,Home & Kitchen,Organic Snacks,1.0,818.15,22.87,Net Banking,Delivered,5.0,5.0,0.91,Mobile,Social,8657.49,SAVE20,631.04,2025.0,9.0,10.0
41230,ORD1031327,CUST30714,2024-08-16,33,Lucknow,Sports,Running Shoes,3.0,654.6,7.97,COD,Delivered,4.4,6.0,6.21,Tablet,Organic,1993.08,APP15,1807.29,2024.0,8.0,16.0
33307,ORD1021858,CUST35262,2024-06-08,28,Kolkata,Beauty,Bluetooth Speaker,1.0,658.7,13.17,Credit Card,Delivered,4.3,5.0,9.03,Mobile,Paid Search,5028.6,SAVE20,571.95,2024.0,6.0,8.0
62633,ORD1092738,CUST29668,2025-11-07,36,Patna,Electronics,Face Serum,1.0,794.05,14.89,Net Banking,Delivered,4.4,4.0,30.86,Mobile,Email,5428.53,APP15,675.82,2025.0,11.0,7.0
84745,ORD1039257,CUST44945,2024-10-13,29,Chennai,Toys,Face Serum,1.0,863.03,7.87,COD,Delivered,3.2,3.0,1.41,Desktop,Social,2961.69,not provided,795.11,2024.0,10.0,13.0
34861,ORD1007364,CUST72437,2024-02-23,32,Delhi,Beauty,Face Serum,1.0,300.4,4.97,Credit Card,Delivered,4.3,4.0,24.34,Mobile,Paid Search,929.62,NEWUSER,285.47,2024.0,2.0,23.0
42597,ORD1019079,CUST89992,2024-05-19,22,Indore,Electronics,Novel,1.0,899.63,9.74,UPI,Delivered,4.9,2.0,37.23,Mobile,Direct,2891.67,APP15,812.01,2024.0,5.0,19.0
85876,ORD1050912,CUST72319,2025-01-06,40,Jaipur,Grocery,Organic Snacks,1.0,2002.71,16.7,Credit Card,Delivered,4.3,3.0,10.1,Mobile,Direct,3127.63,SAVE20,1668.26,2025.0,1.0,6.0
67231,ORD1058165,CUST44601,2025-02-28,41,Patna,Home & Kitchen,Laptop Stand,1.0,724.59,16.99,Debit Card,Delivered,5.0,4.0,3.96,Desktop,Affiliate,8549.78,not provided,601.48,2025.0,2.0,28.0
940,ORD1051098,CUST57213,2025-01-08,33,Delhi,Books,Running Shoes,1.0,1611.5,9.86,Debit Card,Shipped,4.5,11.0,34.87,Mobile,Direct,13915.96,FESTIVE,1452.61,2025.0,1.0,8.0
66205,ORD1047631,CUST78368,2024-12-13,44,Mumbai,Toys,Organic Snacks,1.0,494.33,27.91,COD,Delivered,3.1,3.0,7.87,Mobile,Direct,8167.15,APP15,356.36,2024.0,12.0,13.0
68305,ORD1034900,CUST28517,2024-09-11,30,Ahmedabad,Home & Kitchen,Yoga Mat,1.0,1064.82,4.58,Net Banking,Delivered,4.7,5.0,8.07,Mobile,Social,3716.62,FESTIVE,1016.05,2024.0,9.0,11.0
46009,ORD1098691,CUST52282,2025-12-21,40,Bengaluru,Beauty,Coffee Maker,5.0,411.65,4.25,Wallet,Processing,4.3,2.0,2.81,Desktop,Paid Search,833.2,FESTIVE,1970.77,2025.0,12.0,21.0
9226,ORD1043724,CUST90459,2024-11-15,46,Kolkata,Grocery,Coffee Maker,1.0,4743.16,17.67,Debit Card,Delivered,4.0,3.0,21.07,Mobile,Paid Search,15293.87,not provided,3905.04,2024.0,11.0,15.0
17320,ORD1002793,CUST51146,2024-01-21,27,Delhi,Grocery,Wireless Headphones,2.0,177.03,24.15,Debit Card,Delivered,5.0,128.0,25.01,Mobile,Affiliate,5381.61,NONE,268.55,2024.0,1.0,21.0
64150,ORD1027783,CUST78763,2024-07-21,30,Lucknow,Beauty,Face Serum,1.0,313.52,16.97,not provided,Shipped,5.0,1.0,5.22,Mobile,Organic,593.43,not provided,260.32,2024.0,7.0,21.0
15538,ORD1091500,CUST49966,2025-10-29,45,Chennai,Fashion,Coffee Maker,2.0,4492.97,9.16,Credit Card,not provided,5.0,2.0,9.22,Mobile,Email,31813.69,NEWUSER,8162.83,2025.0,10.0,29.0
13697,ORD1055027,CUST15912,2025-02-05,28,Lucknow,Toys,Face Serum,5.0,1417.14,5.31,Wallet,Delivered,3.4,4.0,33.34,Mobile,Social,1047.54,not provided,6709.45,2025.0,2.0,5.0
83954,ORD1024355,CUST55764,2024-06-26,24,Ahmedabad,Toys,Face Serum,2.0,551.9,9.5,Net Banking,Delivered,5.0,2.0,16.02,Mobile,Paid Search,3891.69,APP15,998.94,2024.0,6.0,26.0
12278,ORD1033228,CUST91673,2024-08-30,30,Hyderabad,Sports,Yoga Mat,3.0,227.12,11.35,Credit Card,Delivered,4.8,1.0,13.65,Mobile,Email,2142.59,NEWUSER,604.03,2024.0,8.0,30.0
83306,ORD1040506,CUST41214,2024-10-22,37,Pune,Grocery,Bluetooth Speaker,5.0,885.47,3.77,Credit Card,Cancelled,3.6,1.0,55.61,Mobile,Social,,not provided,4260.44,2024.0,10.0,22.0
6966,ORD1008125,CUST40470,2024-02-29,18,Patna,Home & Kitchen,Novel,1.0,1413.48,6.28,UPI,Delivered,5.0,2.0,4.72,Mobile,Social,1419.9,FESTIVE,1324.71,2024.0,2.0,29.0
78078,ORD1084292,CUST35195,2025-09-07,18,Jaipur,Books,Running Shoes,2.0,2778.53,12.99,Net Banking,Delivered,4.1,4.0,7.79,Mobile,Organic,9599.7,not provided,4835.2,2025.0,9.0,7.0
72654,ORD1006989,CUST67758,2024-02-21,20,Jaipur,Home & Kitchen,Wireless Headphones,1.0,420.71,12.1,Net Banking,Delivered,4.2,3.0,6.02,Mobile,Paid Search,1260.37,APP15,369.8,2024.0,2.0,21.0
82143,ORD1048889,CUST62891,2024-12-22,34,Hyderabad,Beauty,Organic Snacks,4.0,5384.33,10.69,COD,Cancelled,4.5,1.0,28.67,Desktop,Organic,10694.5,NEWUSER,19234.98,2024.0,12.0,22.0
55649,ORD1083096,CUST19194,2025-08-29,23,Delhi,Electronics,Novel,2.0,625.79,15.2,COD,Returned,5.0,8.0,3.79,Mobile,not provided,3401.99,not provided,1061.34,2025.0,8.0,29.0
85803,ORD1034615,CUST64686,2024-09-09,24,Indore,Home & Kitchen,Organic Snacks,3.0,915.8,9.07,UPI,Delivered,3.4,2.0,2.98,Desktop,Organic,5553.28,not provided,2498.21,2024.0,9.0,9.0
78208,ORD1054492,CUST54826,2025-02-01,32,Pune,Home & Kitchen,Face Serum,2.0,1500.01,9.54,Wallet,Delivered,3.1,1.0,6.12,Desktop,Social,2495.4,APP15,2713.82,2025.0,2.0,1.0
71961,ORD1020932,CUST24846,2024-06-01,29,Lucknow,Electronics,Running Shoes,3.0,751.79,10.85,Credit Card,Delivered,4.0,2.0,10.07,Desktop,Organic,11632.58,FESTIVE,2010.66,2024.0,6.0,1.0
